NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1 
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,1654,411,1677,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,2716,668,2769,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,8521,2339,8661,35,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,4411,865,4467,10,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05--Estrie,2979,703,3024,16,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06--Montréal,27754,7384,28045,208,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,2467,663,2485,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1881,465,1904,4,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,869,191,876,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,342,53,339,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,594,152,598,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,3207,867,3237,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13--Laval,4106,836,4167,11,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2014-04-01 et 2015-03-31,  14 janvier 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
