NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,1584,377,1599,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,2434,585,2472,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,7618,2118,7716,33,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québec,4293,859,4354,9,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05 Estrie,4299,965,4353,15,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06 Montréal,26831,7472,27137,191,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,2447,574,2475,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,1738,427,1752,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,799,164,811,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10-17 ET 18,339,45,335,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madeleine,574,178,577,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,3184,880,3216,7,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13 Laval,3833,811,3872,11,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
14,Soins physiques et psychiatriques de courte durée,14 Lanaudière,4110,891,4151,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2017/04/01 et 2018/03/31,22 mai 2019,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
